CODIGO,ARTICULO / CATEGORIA,PRECIO,MAYORISTA
FE0017,Bioproyect Lana de roca,"$3.500,00","$2.800,00"
FE0018,Beee hello weed,"$3.600,00","$2.880,00"
FE0019,Cytozyme bionutrientre 50cc,"$10.000,00","$8.000,00"
FE0020,Cytozyme crop+ 50cc,"$11.000,00","$8.800,00"
FE0021,Feeding grow 125g,,"$0,00"
FE0022,Feeding short flowering 125g,,"$0,00"
FE0023,Feeding biogrow 125g,"$45.000,00","$36.000,00"
FE0024,Feeding bioenhancer 125g,"$79.000,00","$63.200,00"
FE0025,Feeding booster 125g,"$46.000,00","$36.800,00"
FE0026,Feeding Calcium 500g,,"$0,00"
FE0027,Feeding hybrids 125g,,"$0,00"
FE0028,Feeding biobloom 125g,"$48.000,00","$38.400,00"
FE0029,Feeding long flowering 125g,"$30.000,00","$24.000,00"
FE0030,Feeding biobloom 50g,"$48.000,00","$38.400,00"
FE0031,Feeding grow 50g,"$15.000,00","$12.000,00"
FE0032,Feeding short flowering 50g,"$15.000,00","$12.000,00"
FE0033,Feeding hybrids 50g,"$15.000,00","$12.000,00"
FE0034,feeding PK booster 50g,"$25.500,00","$20.400,00"
FE0035,Geltek 12g,"$4.500,00","$3.600,00"
FE0036,Green leaf 6 en 1 250ml,,"$0,00"
FE0037,Green leaf 6 en 1 500ml,,"$0,00"
FE0038,Green leaf Purin de ortiga 100ml,"$3.200,00","$2.560,00"
FE0039,Green leaf araña roja 100ml,"$7.200,00","$5.760,00"
FE0040,Green leaf repele horm 100ml,"$2.600,00","$2.080,00"
FE0041,Green leaf harina hueso 100ml,"$2.000,00","$1.600,00"
FE0042,Green leaf pasta ci 100ml,"$3.100,00","$2.480,00"
FE0043,Green leaf bokashi ja 200ml,,"$0,00"
FE0044,Green leaf bokashi ja 1000ml,,"$0,00"
FE0045,Green Leaf 4 en 1,"$3.400,00","$2.720,00"
FE0046,Green Leaf Jabon Potasico 500ml,"$6.000,00","$4.800,00"
FE0047,Green Leaf Cesped,"$5.000,00","$4.000,00"
FE0048,Green Leaf Micorriza 30cc,"$8.000,00","$6.400,00"
FE0049,Green Leaf trichodermas 30cc,"$6.200,00","$4.960,00"
FE0050,Grotek grow 500ml,"$42.000,00","$33.600,00"
FE0051,Grotek bloom 500ml,"$42.000,00","$33.600,00"
FE0052,Grotek vitamax pro 500ml,"$48.000,00","$38.400,00"
FE0053,Grotek heavy bud pro 500ml,"$53.000,00","$42.400,00"
FE0054,Grotek Bud Fuel 500ml,"$49.000,00","$39.200,00"
FE0055,Grotek monster grow pro 20g,"$8.500,00","$6.800,00"
FE0056,Grotek carbon max 100g,"$15.000,00","$12.000,00"
FE0057,Grotek Micropack,"$75.000,00","$60.000,00"
FE0058,Harina pescado 100g,"$3.700,00","$2.960,00"
FE0059,Harina pescado 400g,"$9.100,00","$7.280,00"
FE0060,JuaniJuana ja potásico 100ml,"$3.000,00","$2.400,00"
FE0061,Kawsay silicio 500ml,"$11.000,00","$8.800,00"
FE0062,Kawsay +pH,,"$0,00"
FE0063,Kawsay -pH,,"$0,00"
FE0064,Kawsay duo pH,,"$0,00"
FE0065,Kief melaza de caña 500ml,"$4.500,00","$3.600,00"
FE0066,Mamboreta foli 30cm,"$13.000,00","$10.400,00"
FE0067,Mamboreta aba 30cm,"$10.400,00","$8.320,00"
FE0068,Mamboreta confi 30cm,"$10.400,00","$8.320,00"
FE0069,Mamboreta H 30cm,"$5.800,00","$4.640,00"
FE0070,Mamboreta D 30cm,"$6.000,00","$4.800,00"
FE0071,Mamboreta K 30cm,"$13.000,00","$10.400,00"
FE0072,Mamboreta Oil 85 E 100ml,"$6.000,00","$4.800,00"
FE0073,Namaste Amazonia 150g,"$14.000,00","$11.200,00"
FE0074,Namasté Amazonia 300g,"$25.200,00","$20.160,00"
FE0075,Namaste oro negro 100cc,"$5.400,00","$4.320,00"
FE0076,Namasté oro negro 500mls,"$14.500,00","$11.600,00"
FE0077,Namaste flora 100cc,"$5.400,00","$4.320,00"
FE0078,Namasté flora 500mls,"$14.500,00","$11.600,00"
FE0079,Namaste trico+ 100g,"$6.000,00","$4.800,00"
FE0080,Namasté flora 500mls,"$11.600,00","$9.280,00"
FE0081,Namaste clonaste 30g,"$11.000,00","$8.800,00"
FE0082,Namasté PH menos,"$4.300,00","$3.440,00"
FE0083,Namasté PH menos 500ml,"$14.000,00","$11.200,00"
FE0084,Namasté bioprotect 100ml,"$8.600,00","$6.880,00"
FE0085,Namaste Shanti 500mls,"$33.500,00","$26.800,00"
FE0086,Namasté Shanti 100mls,"$9.600,00","$7.680,00"
FE0087,Namasté Detox 500mls,"$8.000,00","$6.400,00"
FE0088,Namasté Bioneem 30ml,"$6.800,00","$5.440,00"
FE0089,Namasté Bioneem 100ml,"$12.000,00","$9.600,00"
FE0090,Namasté Flora booster 2LT,"$37.800,00","$30.240,00"
FE0091,Namaste PH- 2LT,"$42.800,00","$34.240,00"
FE0092,Namaste Oro negro 2LT,"$37.800,00","$30.240,00"
FE0093,Namaste Amazonia 2LT,"$124.000,00","$99.200,00"
FE0094,Namaste Detox 2LT,"$25.200,00","$20.160,00"
FE0095,Namaste Trico + 1100grs,"$37.000,00","$29.600,00"
FE0096,Namasté Nutripack 5/P,"$31.700,00","$25.360,00"
FE0097,Nostress jabón potásico 250ml,"$4.300,00","$3.440,00"
FE0098,Nostress trichodermas 100ml,"$8.700,00","$6.960,00"
FE0099,Nostress melaza 1L,,"$0,00"
FE0100,Nostress 100ml,,"$0,00"
FE0101,Nostress original 250ml,,"$0,00"
FE0102,Pangea,"$25.200,00","$20.160,00"
FE0103,Pangea vital zinc 100m,"$4.000,00","$3.200,00"
FE0104,Pangea alga Mater 100ml,"$6.600,00","$5.280,00"
FE0105,Pangea bloom starter 100ml,"$5.400,00","$4.320,00"
FE0106,Pangea pk engorde 100ml,"$5.400,00","$4.320,00"
FE0107,Pangea juice 100ml,"$4.100,00","$3.280,00"
FE0108,Pangea Last Chance 100ml,"$4.600,00","$3.680,00"
FE0109,Pangea stinky 150g,"$6.600,00","$5.280,00"
FE0110,Pangea healthy 300ml,,"$0,00"
FE0111,Pangea wormhus humus 300ml,"$4.200,00","$3.360,00"
FE0112,Pangea Van Helsing 300ml,"$4.600,00","$3.680,00"
FE0113,Pangea D Killer 100g,"$3.400,00","$2.720,00"
FE0114,Pangea Micorriza 100g,"$9.000,00","$7.200,00"
FE0115,Pangea Micorriza 200g,"$15.000,00","$12.000,00"
FE0116,Princesses j potásico 100ml,"$3.000,00","$2.400,00"
FE0117,Top Crop Tripack 250,"$20.000,00","$16.000,00"
FE0118,Top crop auto,"$33.000,00","$26.400,00"
